id,species,family,subfamily,identification,wingspan,caterpillarhost,adultfood,habitat,flight,range
49,Boloria epithore,Nymphalidae,Heliconiinae,"Tip of forewing rounded. Upperside bright orange; black markings large on basal half of wing, small on outer half. Underside orange with purple-brown markings; hindwing with postmedian row of dark circles.",1 3/8 - 1 3/4 inches (3.5 - 4.5 cm).,"Violets including Viola ocellata, V. sempervirens, and V. glabella.",Flower nectar.,"Openings in moist forests, wet meadows, streamsides.",One flight from May-August.,"Central British Columbia east and south to Alberta and Montana, south along Pacific Coast to central California."
50,Boloria freija,Nymphalidae,Heliconiinae,Upperside tawny to orange-brown; arctic butterflies darker. Underside tawny with characteristic black zigzag median line; arrowhead-shaped white spots in center of wing at outer margin.,1 3/8 - 1 5/8 inches (3/5 - 4.1 cm).,Dwarf bilberry (Vaccinium caespitosum) and other plants in the heath family (Ericaceae).,Flower nectar.,"Open bogs, taiga, tundra, edges of open black spruce bogs, pine forests.",One brood from late May to mid-July.,Holarctic. Much of Alaska and Canada; south through the Rocky Mountains to New Mexico; east to the Great Lakes area.
51,Boloria frigga,Nymphalidae,Heliconiinae,Tip of forewing pointed. Wings orange-brown with black markings; darker at wing bases. Underside of hindwing with off-white patch near base of costal margin.,1 1/2 - 2 inches (3.8 - 5.1 cm).,"Cranberry (Vaccinium) and bog rosemary (Andromeda), perhaps willow (Salix) and dwarf birch (Betula).",Flower nectar.,"Sedge and sphagnum bogs, arctic tundra.",One brood from late May-early August.,"Holarctic. Northern Alaska and northern Canada east to Labrador, south to northern areas of Michigan, Minnesota, and Wisconsin. Isolated populations in Rocky Mountains to Wyoming and southcentral Colorado."
52,Boloria improba,Nymphalidae,Heliconiinae,"Small. Upperside dull orange-brown, darker at wing bases; markings faded and indistinct. Underside hindwing dark orange-brown at base, often grayish on outer half. Hindwing with ivory white costa and ivory dash between costa and cell.",1 1/8 - 1 3/8 inches (3 - 3.5 cm).,Dwarf willows including Salix arctica and S. reticulata nivalis.,Flower nectar.,Moist tundra with dwarf willows.,One brood from late June-early August.,"Holarctic. Alaska east through Northwest Territories to Baffin Island, south to Yukon Territories and northern British Columbia. Isolated populations in central Canadian Rockies, southwest Wyoming, and southwest Colorado."
53,Calephelis muticum,Riodinidae,Riodininae,Male with pointed forewing. Upperside of both sexes bright red-brown; dark median band not evident. Wing fringes lightly checkered.,15/16 - 1 3/16 inches (2.4 - 3 cm).,Swamp thistle (Cirsium muticum) and roadside thistle (C. altissimum).,Nectar from yellow flowers including black-eyed susans.,"Bogs, marshes, swamps, wet meadows.","One flight from June-August in the Great Lakes region, two flights from May-September in the south.","Populations in southern Michigan, southern Wisconsin, Ohio, Missouri, and northern Arkansas. Isolated populations in central Kentucky and eastern Iowa."
54,Calephelis nemesis,Riodinidae,Riodininae,Male forewing pointed. Upperside brown with slightly darker median bands; fringes checkered.,3/4 - 1 inch (2 - 2.5 cm).,"Seepwillow (Baccharis glutinosa), perhaps virgin's bower (Clematis species).",Flower nectar.,"Brushy or weedy areas along roadsides, washes, ditches, and streams.","All year in south Texas, May-October in California.","Southern California through the Southwest to central Texas, south to southern Mexico."
55,Calephelis perditalis,Riodinidae,Riodininae,Male with tip of forewing rounded. Upperside brown with indistinctly checkered fringes; may have dark median band.,11/16 - 15/16 inch (1.8 - 2.4 cm).,Boneset (Eupatorium odoratum) in the sunflower family (Asteraceae).,Flower nectar including boneset.,"Open areas such as thorn scrub, road edges, and fencerows.","Throughout the year in South Texas, although most common from March-November.",Central Texas south to central Mexico.
56,California tortoiseshell,Nymphalidae,Nymphalinae,Upperside is orange-brown with large black spots and dark wing borders. Underside looks like a dead leaf and is dark mottled brown with darker wing bases; hindwing does not have a centered silver spot., 1 1/4 - 2 3/4 inches (3.2 - 7 cm).,Various species of wild lilac (Ceanothus).,Flower nectar.,"Chaparral, woodland, brush areas, forest clearings and edges.","One brood overwinter. They fly the following spring until April or May, mating and laying eggs for the next brood.","British Columbia south along the Pacific Coast to Baja California Norte, east to Montana, Wyoming, Colorado, and New Mexico. Rare migrants to Michigan, Pennsylvania, New York, and Vermont after periodic population explosions in Mexico."
57,Callophrys affinis,Lycaenidae,Theclinae,No tails. Adults variable. Upperside ranges from gray to orange-tinted to bright orange-brown. Underside of forewing green with orange or gray patch. Underside of hindwing yellow-green to green; postmedian white line usually reduced to a few spots.,1 - 1 1/8 inches (2.5 - 3 cm).,"Various Eriogonum, Lotus, and Ceanothus species.",Flower nectar.,"Brushland, chaparral, woods, scrub.",One flight from May-July.,"Southern British Columbia and Washington south through California into northern Baja California; east to central Montana, Wyoming, Colorado, and New Mexico."
58,Callophrys augustinus,Lycaenidae,Theclinae,"No tails. Upperside of male gray-brown; female reddish brown. Underside chestnut brown with dark, irregular postmedian line; hindwing darker at base.",7/8 - 1 1/8 inches (2.2 - 2.9 cm).,"In the East, members of the heath family (Ericaceae), including sugar huckleberry (Vaccinium vacillans) and Labrador tea (Ledum groenlandicum). In the west, many other plants including madrone (Arbutus) and dodder (Cuscuta).","Nectar from flowers including blueberry, footsteps-of-spring, spicebush, willow, winter cress, and wild plum.","Mixed conifer woods, barrens, bogs, sandy coasts, chaparral.","One flight from May-July in the north, March-April in the south.",Newfoundland north and west through northern United States and the prairie provinces to Alaska; south in Appalachians to northern Georgia and northern Alabama; south through western mountains to northern Baja California. Does not occur on the plains or in the Midwest.
59,Callophrys dumetorum,Lycaenidae,Theclinae,No tails. Upperside of male gray; female yellowish at least in center of both wings. Underside of forewing gray with extensive blue-green. Underside of hindwing blue-green with complete or much reduced postmedian line of white spots capped with black.,1 - 1 1/4 inches (2.5 - 3.2 cm).,Eriogonum latifolium and occasionally deerweed (Lotus scoparius) and others.,Flower nectar.,"Coastal hills and dunes, rarely chaparral.",One flight from March-May.,"Coastal California, rarely inland sites."
60,Callophrys fotis,Lycaenidae,Theclinae,"Upperside gray; underside brownish gray. Base of hindwing darker, outer half gray to yellow-gray.",3/4 - 1 1/8 inches (1.9 - 2.8 cm).,Cliff rose (Cowania mexicana var. stansburiana) in the rose family (Rosaceae).,Not reported.,"In desert rocky canyons, hills, and scrub.",One flight from March-June.,"Southeastern California, southern Nevada, central Utah, southwest Colorado, northern Arizona, and northwestern New Mexico."
61,Callophrys gryneus,Lycaenidae,Theclinae,"Widespread and variable. Western and eastern populations were once considered separate species but have been found to hybridize. Western: Upperside of male dull red-brown, female tawny; both with dark brown costa and wing borders. Underside of forewing rust-red; hindwing dull to bright green with irregular white line edged inwardly with red-brown. Eastern: Upperside of male dark brown with olive-colored sheen, female blackish brown. Underside green; forewing with tawny base, hindwing with 2 white spots near base and irregular white line edged inwardly with red-brown.",1 - 1 1/4 inches (2.6 - 3.2 cm).,"Redcedar scopulorum), California juniper (J. californica), Utah juniper (J. osteosperma), and perhaps others.","Nectar from various flowers including winter cress, dogbane, common milkweed, wild carrot, shepherd's needle, butterflyweed, white sweet clover, and others.","Old fields, bluffs, barrens, juniper and pinyon-juniper woodlands, and cedar breaks.","In the far north of its range (Canada) except in southern Quebec at Point Pelee, where the second flight has been recorded (Layberry 1998). One brood from May-August; in the west, one brood from March-July. Two broods in the rest of its range, from Februa","East Texas. West: Montana, North Dakota, and Nebraska south to southern California, Arizona, New Mexico, and Baja California."
62,Callophrys henrici,Lycaenidae,Theclinae,Tailed. Upperside dark brown; male without oval spot at forewing front edge. Often a dull orange tinge at outer margin of forewing and near tail of hindwing. Underside forewing with fairly straight postmedian line; hindwing with some white in the postmedian line.,1 - 1 1/4 inches (2.5 - 3.2 cm).,"Diverse plants texana) in Texas; dahoon (Ilex cassine), American holly (I. opaca), and yaupon (I. vomitoria) in Florida and North Carolina. Redbud (Ceris canadensis), huckleberries and blueberries (Vaccinium species), Mexican buckeye (Ungnadia speciosa), and Viburnum species are selected in other locations.","Where redbud is the caterpillar host, its flowers are the main nectar supply for adults. In other places, flowers of plants that are not the caterpillar host are used for nectar including willows, wild plum and hawthorn, and Forstiera.",Edges and openings in barrens and near pine or pine-oak woodland.,One flight from February-May.,"Maine west through southern Canada to Wisconsin, south to Texas, the Gulf Coast, and central Florida."
63,Callophrys hesseli,Lycaenidae,Theclinae,Two tails on hindwing. Underside blue-green; white spots surrounded by patches of red-brown. Forewing's costal white spot is set inward of the other spots in postmedian row.,1 - 1 1/8 inch (2.5 - 2.8 cm).,Atlantic white-cedar (Chamaecyparis thyoides) in the family Cupressaceae.,"Nectar from flowers including swamp milkweed, shadbush, sand myrtle, sweet pepperbush, highbush blueberry, buttonbush, and dogbane.","Coastal plains swamps and stream banks, associated barrens.","One flight in late May in New England, two flights from April-July in the south.",Southern Maine south along the Atlantic coastal plain to northern Florida on the Gulf Coast.
